Mercury,46,70,57
Neptune,4450,4550,4500
Venus,107,109,108
Mars,205,249,228
Earth,147,152,150
Jupiter,741,817,779
Pluto,4440,7380,5910
Uranus,2750,3000,2880
Saturn,1350,1510,1430
